City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,i-n-salah,27.1935,2.4607,34.82,13,7,8.91,DZ,1697029638
128,toropets,56.4978,31.6353,7.86,64,100,7.66,RU,1697029639
129,podporozh'ye,60.9112,34.1706,5.41,88,100,7.17,RU,1697029640
130,nadi,-17.8,177.4167,23.0,78,75,2.06,FJ,1697029641
131,la sarre,48.8002,-79.1996,3.99,94,83,1.5,CA,1697029641
132,liezen,47.5667,14.2333,23.15,30,87,0.27,AT,1697029642
133,bamboo flat,11.7,92.7167,27.18,82,33,1.57,IN,1697029642
134,hamilton,39.1834,-84.5333,8.88,86,0,1.54,US,1697029596
135,labrador city,52.9463,-66.9114,7.95,100,100,2.06,CA,1697029388
136,medjez el bab,36.6496,9.6123,34.17,18,0,3.65,TN,1697029644
137,sabang,5.8933,95.3214,27.91,76,100,4.98,ID,1697029645
138,tralee,52.2704,-9.7026,12.14,94,100,2.06,IE,1697029646
139,lihue,21.9789,-159.3672,24.77,72,0,5.14,US,1697029598
140,rongelap,11.1635,166.8941,28.31,75,86,4.03,MH,1697029647
141,perryton,36.4,-100.8027,13.44,76,0,4.63,US,1697029644
142,blackmans bay,-43.0167,147.3167,10.85,88,4,3.46,AU,1697029648
143,ta`u,-14.2336,-169.5144,26.31,85,71,8.85,AS,1697029649
144,dampit,-8.2116,112.7493,20.93,79,43,1.72,ID,1697029650
145,debre sina,9.85,39.7667,18.52,47,93,4.44,ET,1697029650
146,talnakh,69.4865,88.3972,-0.58,98,100,2.21,RU,1697029651
147,bredasdorp,-34.5322,20.0403,21.17,68,100,4.87,ZA,1697029651
148,weyburn,49.6668,-103.8511,2.12,75,0,7.2,CA,1697029480
149,sao jose da coroa grande,-8.8978,-35.1478,28.22,59,4,4.32,BR,1697029652
150,buritis,-15.6178,-46.4233,32.92,35,1,4.13,BR,1697029653
151,cole harbour,44.6724,-63.4751,14.99,92,96,3.58,CA,1697029653
152,east london,-33.0153,27.9116,20.35,85,98,6.86,ZA,1697029654
153,newman,37.3138,-121.0208,13.49,80,0,2.64,US,1697029654
154,lebu,-37.6167,-73.65,8.75,64,0,9.41,CL,1697029399
155,kapa'a,22.0752,-159.319,22.99,76,100,4.31,US,1697029414
156,hakui,36.8833,136.7833,16.23,70,64,3.07,JP,1697029656
157,vorgashor,67.5833,63.95,0.43,81,100,2.0,RU,1697029656
158,anadyr,64.75,177.4833,0.28,86,100,9.0,RU,1697029657
159,afaahiti,-17.75,-149.2833,22.93,84,31,5.55,PF,1697029657
160,shache,38.4167,77.2406,20.57,24,100,3.61,CN,1697029659
161,ghotki,28.006,69.3161,33.44,9,0,4.2,PK,1697029661
162,pangody,65.85,74.4859,2.5,81,72,2.71,RU,1697029661
163,murghob,38.1702,73.9667,7.18,25,24,0.36,TJ,1697029662
164,vila velha,-20.3297,-40.2925,24.97,94,40,1.03,BR,1697029663
165,verkhovazh'ye,60.7472,42.0465,1.75,73,100,5.88,RU,1697029663
166,nuku'alofa,-21.1333,-175.2,19.19,82,20,1.03,TO,1697029664
167,cabo san lucas,22.8909,-109.9124,27.09,83,0,2.24,MX,1697029433
168,sagua la grande,22.8067,-80.0756,27.55,81,97,2.1,CU,1697029665
169,zavetnoye,47.1194,43.8903,7.99,49,81,9.13,RU,1697029671
170,fabens,31.5023,-106.1586,18.6,41,0,1.49,US,1697029671
171,kapuskasing,49.4169,-82.4331,4.05,93,100,3.09,CA,1697029672
172,el granada,37.5027,-122.4694,15.19,85,75,5.66,US,1697029673
173,sinabang,2.4803,96.3801,26.06,83,100,2.05,ID,1697029674
174,tazacorte,28.629,-17.9293,31.54,19,0,2.06,ES,1697029674
